,album_info,album_title,lyrics,song_title
10,"album: ""Breakout"" (2008)","""Breakout""","

I can honestly say
You've been on my mind
Since I woke up today
I look at your photograph all the time
These memories come back to life
And I don't mind

I remember when we kissed
I still feel it on my lips
The time that you danced with me
With no music playing
I remember the simple things
I remember till I cry
But the one thing I wish I'd forget
The memory I wanna forget
Is goodbye

I woke up this morning
And played our song
And through my tears I sang along
I picked up the phone and then
Put it down
'cause I know I'm wasting my time
And I don't mind

I remember when we kissed
I still feel it on my lips
The time that you danced with me
With no music playing
I remember the simple things
I remember till I cry
But the one thing I wish I'd forget
The memory I wanna forget

Suddenly my cell phone's blowing up
With your ring tone
I hesitate but answer it anyway
You sound so alone
And I'm surprised to hear you say

You remember when we kissed
You still feel it on your lips
The time that you danced with me
With no music playing
You remember the simple things
We talk till we cry
You said that your biggest regret
The one thing you wish I'd forget
Is saying goodbye

Saying goodbye
Oh, Goodbye
",Goodbye
11,"album: ""Breakout"" (2008)","""Breakout""","

I got my sight set on you and I'm ready to aim
I have a heart that will never be tamed
I knew you were something special when you spoke my name
Now I can't wait to see you again

I've got a way of knowing when something is right
I feel like I must have known you in another life
'Cause I felt this deep connection when you looked in my eyes
Now I can't wait to see you again

The last time I freaked out
I just kept looking down
I stuttered when you asked me what I'm thinking about
Felt like I couldn't breathe
You asked what's wrong with me
My best friend Leslie said, ""Oh, she's just being Miley.""
The next time we hang out
I will redeem myself
My heart: it can't rest 'til then
I, I can't wait to see you again

I got this crazy feeling deep inside
When you called and asked to see me tomorrow night
I'm not a mind reader but I'm reading the signs
That you can't wait to see me again

The last time I freaked out
I just kept looking down
I stuttered when you asked me what I'm thinking about
Felt like I couldn't breathe
You asked what's wrong with me
My best friend Leslie said, ""Oh, she's just being Miley.""
The next time we hang out
I will redeem myself
My heart: it can't rest 'til then
I, I can't wait to see you again

I got my sight set on you and I'm ready to aim

The last time I freaked out
I just kept looking down
I stuttered when you asked me what I'm thinking about
Felt like I couldn't breathe
You asked what's wrong with me
My best friend Leslie said, ""Oh, she's just being Miley.""
The next time we hang out
I will redeem myself
My heart: it can't rest 'til then
I, I can't wait to see you again

I, I can't wait to see you again
",See You Again
12,"album: ""Breakout"" (2008)","""Breakout""","

Someday, someday, someday, oh
Someday, someday, someday, oh
Someday, someday, someday, oh
Someday, someday, someday

No boy, don't call me feisty
I worked too hard for this, oh oh oh
No boy, No boy
Can find me easy to resist
But you boy, you boy
I know somewhere you exist
Yeah, I'm gonna find you
Someday, Someday
{someday, someday,someday, someday}

I ain't gonna find you in London Or Rome
Ain't gonna find you staying at home
Ain't gonna find you on the dance floor
Ain't gonna find you there for sure
I'm gonna find you 
If I keep living, someday
{someday, someday, someday, someday}

Hey world, are you listening? {listening}
I got so much to say
I know it is a small world, small world
But sometimes I can't find my way {my way}
And I know, I know oh
It could happen any day
Just around the corner {just around the corner}
I'm gonna find you, someday
{someday, someday, someday, someday}

I ain't gonna find you in London Or Rome
Ain't gonna find you staying at home
Ain't gonna find you on the dance floor
Ain't gonna find you there for sure
I'm gonna find you 
If I keep living, someday
{someday, someday, someday, someday}

Oh oh, I'm gonna find you
I'm gonna find you
{someday, someday, someday, someday}

I ain't gonna find you in London Or Rome
Ain't gonna find you staying at home
Ain't gonna find you on the dance floor
Ain't gonna find you there for sure
I'm gonna find you 
If I keep living, someday
{someday, someday, someday, someday}

I know I'm gonna find you, someday
I'm gonna find you, someday
{someday, someday, someday, someday}
",Someday
13,"album: ""Breakout"" (2008)","""Breakout""","

[Miley Cyrus:]
Sometimes I wonder, if everything changed
How would we make out?
And now suddenly thunder, and everything changed
There's this big dark cloud, hovering

Hovering
Hovering 
Hovering

[Trace Cyrus:]
You always said that we'd make it through

[Miley Cyrus:]
Trembling
Stumbling
Fumbling

For the words that say
That I'm leaving you
I'm leaving you

We go through the motions 
Like everything's settled
But it's inside out
And it makes us uncomfortable
Still holding on
When there's all this doubt, hovering

Hovering
Hovering 
Hovering

[Trace Cyrus:]
You always said that we'd make it through

[Miley Cyrus:]
Trembling
Stumbling
Fumbling

For the words that say
That I'm leaving you
I'm leaving you

[Miley Cyrus (Trace Cyrus)]:
And maybe we're just older (older)
Just a little older (older)
Cause the fact that this is over
The fact that this is over with you, then

[Miley Cyrus:]
Hovering
Hovering 
Hovering

[Trace Cyrus:]
You always said that we'd make it through

[Miley Cyrus:]
Trembling
Stumbling
Fumbling

For the words that say
That I'm leaving you
Leaving you

Trembling
Stumbling
Fumbling

For the words that say
That I'm leaving you

[Trace Cyrus:]
You always said that we'd make it through
You always said that we'd make it through
",Hovering
14,"soundtrack: ""Hannah Montana: The Movie"" (2009)","""Hannah Montana: The Movie""","

I've been
Runnin'
In circles all day long
I'm out
Of breath
But I'm still goin' strong

I'm gonna get you yeah
No matter what they say
You think I'm losin'
But I always get my way
(Hey)

[Chorus:]
Don't walk away when I'm talkin' to you
This ain't no time for your bad attitude
Don't gimme
That face
When you know I'm really down for the chase
'cause my heart's already in it
And I'm never gonna quit it
When you finally gonna get it
Don't walk away

(When I'm talkin' to you)

You act
Act like
That I don't have a clue
You think
You know it all
But I'm so onto you

You think you've figured out
Just how to win this game
I'm on your tracks yeah
I know every move you make
(Hey)

[Chorus]

I won't give up just like that
I'm gonna make you mine
If it takes everything I have

[Chorus]

(Don't walk away when I'm talkin' to you)
When I'm talkin' to you
(This ain't no time for your bad attitude)
Yeah

Don't gimme
That face
When you know I'm really down for the chase
'cause my heart's already in it
And I'm never gonna quit it
When you finally gonna get it
Don't walk away
",Don't Walk Away
15,"soundtrack: ""Hannah Montana: The Movie"" (2009)","""Hannah Montana: The Movie""","

Boom clap
Boom de clap de clap
Boom-boom clap
Boom de clap de clap
Boom-boom clap
Boom de clap de clap
Boom-boom clap
Boom de clap de clap

Try it with me, here we go.
Boom-boom clap
Boom de clap de clap
That's right
Boom de clap de clap
Boom-boom clap
Boom de clap de clap

1-2-3 everybody come on off your seats, 
I'm gonna tell you bout a beat, 
That's gonna make you move your feet.

I'll give the barbecue, 
Show and tell you how to move, 
If you're 5 or 82, 
This is something you can do.

Pop it, lock it, polka-dot it
Countrify it then hip-hop it.
Put your hawk in the sky, 
And move side-to-side.
Jump to the left, stick it, glide.

Zig-zag, across the floor
Shuffle in diagonal, 
When the drum hits, hands on your hips.
One-footed 180 twist.
Then a zig-zag, step slide
Lean it left, clap 3 times
Shake it out, head to toe
Throw it all together, that's how we roll.

Do the hoedown (throwdown) [3x]

Throw it all together, that's how we roll.

We get to 4, 5, 6
And you're feeling busted, 
But it's not time to quit, 
Practice makes you perfect.

Pop it, lock it, polka-dot it
Countrify it then hip-hop it.
Put your hawk in the sky, 
And move it side-to-side.
Jump to the left, stick it, glide.

Zig-zag, cross the floor
Shuffle in diagonal, 
When the drum hits, 
Hands on your hips.
One-footed 180 twist.
Then a zig-zag, step slide
Lean it left, clap 3 times
Shake it out, head to toe
Throw it all together, that's how we roll.

Do the hoedown (throwdown) [3x]

Throw it all together, that's how we roll.

Boom de clap de clap, 
Boom-boom clap.
Come on, here we go.
Boom-Boom clap, 
Boom de clap de clap.
Boom-Boom clap, 
Boom de clap.

Pop it, lock it, polka-dot it
Countrify it then hip-hop it.
Put your hawk in the sky, 
And move it side-to-side.
Jump to the left, stick it, glide.

Zig-zag, across the floor
Shuffle in diagonal, 
When the drum hits, hands on your hips.
One-footed 180 twist.

Then a zig-zag, step slide
Lean it left, clap 3 times
Shake it out, head to toe
Throw it all together, that's how we roll.

Do the hoedown (throwdown) [3x]

Throw it all together, that's how we roll.

Do the hoedown (throwdown) [3x]

Throw it all together, that's how we roll.

Boom dap clap, ba-boom dap clap, clap, clap
Boom dap clap, ba-boom da clap, clap, clap
Boom da clap, boom de clap de clap
Throw it all together, that's how we roll.
",Hoedown Throwdown
16,"soundtrack: ""Hannah Montana: The Movie"" (2009)","""Hannah Montana: The Movie""","

Do me a favor
And tell me what you think about me
Tell me how you want this to be
Go out on a limb and just dream

Paint a picture
Choose your colors extra wise
Especially what you put on my mind
Imagine what it be like to touch the sky, yeah, yeah

Whoa oh, your thoughts are gonna pick me up
Do you know it's good to feel too much

Whoa, you got my head in the clouds
Whoa, you got me thinking out loud
The more you dream about me the more that I believe
That nothing's ever out of reach
So dream, dream, dream

I breathe your visions
They pull me through the coldest of nights
They steer me towards that moment in time
When you show me what it means for you to be mine, yeah
Whoa, oh you're giving me the will to try
Do you know that there's happy in these eyes

Whoa, you got my head in the clouds
Whoa, you got me thinking out loud
The more you dream about me the more that I believe
That nothing's ever out of reach
So dream, dream, dream

It's like my birthday
Every time you look at me
It's like the best thing
Every time that you dream, yeah, yeah, yeah

Whoa oh, your thoughts are gonna pick me up
Do you know it's good to feel too much

Whoa, you got my head in the clouds
Whoa, you got me thinking out loud
The more you dream about me the more that I believe
That nothing's ever out of reach
So dream, dream, dream

The more you dream about me the more that I believe
That nothing's ever out of reach
So dream, dream, dream
Dream
",Dream
17,"soundtrack: ""Hannah Montana: The Movie"" (2009)","""Hannah Montana: The Movie""","

I can almost see it
That dream I'm dreaming
But there's a voice inside my head sayin'
""You'll never reach it""
Every step I'm takin'
Every move I make feels lost with no direction
My faith is shakin'

But I, I gotta keep tryin'
Gotta keep my head held high

There's always gonna be another mountain
I'm always gonna wanna make it move
Always gonna be an uphill battle
Sometimes I'm gonna have to lose
Ain't about how fast I get there
Ain't about what's waitin' on the other side
It's the climb

The struggles I'm facing
The chances I'm taking
Sometimes might knock me down
But no, I'm not breaking
I may not know it
But these are the moments
That I'm gonna remember most, yeah
Just gotta keep goin'

And I, I gotta be strong
Just keep pushing on

'Cause

There's always gonna be another mountain
I'm always gonna wanna make it move
Always gonna be an uphill battle
Sometimes I'm gonna have to lose
Ain't about how fast I get there
Ain't about what's waitin' on the other side
It's the climb

Yeah

There's always gonna be another mountain
I'm always gonna wanna make it move
Always gonna be an uphill battle
Somebody's gonna have to lose
Ain't about how fast I get there
Ain't about what's waitin' on the other side
It's the climb

Yeah, yeah, yeah

Keep on movin'
Keep climbin'
Keep the faith, baby
It's all about — it's all about the climb
Keep the faith, keep your faith, whoa, whoa, oh
",The Climb
18,"soundtrack: ""Hannah Montana: The Movie"" (2009)","""Hannah Montana: The Movie""","

You tucked me in, turned out the light
Kept me safe and sound at night
Little girls depend on things like that

Brushed my teeth and combed my hair
Had to drive me everywhere
You were always there when I looked back

You had to do it all alone
Make a living, make a home
Must have been as hard as it could be

And when I couldn't sleep at night
Scared things wouldn't turn out right
You would hold my hand and sing to me

Caterpillar in the tree,
How you wonder who you'll be
Can't go far but you can always dream
Wish you may and wish you might
Don't you worry, hold on tight.
I promise you there will come a day
Butterfly, fly away

Butterfly, fly away (butterfly, fly away)
Got your wings, now you can't stay
Take those dreams and make them all come true

Butterfly, fly away (butterfly, fly away)
You've been waiting for this day
All along you've known just what to do

Butterfly, butterfly, butterfly
Butterfly, fly away

Butterfly, fly away
Butterfly, fly away
",Butterfly Fly Away
19,"EP: ""The Time Of Our Lives"" (2009)","""The Time Of Our Lives""","

Don't keep me waiting, anticipating
Treating me like a fool
I got news for you
I'm turning my back
I'm dropping a bomb on you

You want me
You need me
Believe me, you'll be callin'
You love me
You hate me
Believe me, you'll come crawlin'

So get down and get off
Let me show you what you'll be missing
We break up, you break down
Gonna drag you through this kicking and screaming

Don't keep me guessing I'm your favourite obsession
Don't get me a lame excuse
Is it me that you're messing
It's the same old confession
You're the one with something to lose

Watch out now
Don't blackout
There's no doubt
You can't have it
Control you
I'll own you
I'll show you, but you still can't have it

So get down and get off
I'mma show you what you'll be missing
We break up, you break down
Gonna drag you through this kicking and screaming
So get down and get off
You're not the only one that I've been missing
We break up, you break down
Gonna drag you through this kicking and screaming

You'll be kicking and screaming
You'll be kicking and screaming
But I'm so deceiving
You'll be kicking and screaming

Watch out now
You'll find out
You'll cry out
There's no one above me
I play hard
Don't run far
Come back now, I really do like you...

So get down and get off
I'mma show you what you'll be missing
We break up, you break down
Gonna drag you through this kicking and screaming
So get down and get off
You're not the only one that I've been missing
We break up, you break down
Gonna drag you through this kicking and screaming

You'll be kicking and screaming
You'll be kicking and screaming

Kicking and screaming

Kicking
And
Screaming
",Kicking And Screaming
